SST,access_cm2,cams_csm1_0,canesm5_canoe,cesm2,ciesm,cmcc_cm2_sr5,cmcc_esm2,cnrm_cm6_1,cnrm_cm6_1_hr,cnrm_esm2_1,ec_earth3_cc,fgoals_f3_l,fgoals_g3,fio_esm_2_0,hadgem3_gc31_ll,ipsl_cm6a_lr,kiost_esm,mcm_ua_1_0,miroc_es2l,miroc6,nesm3,noresm2_lm,noresm2_mm,ukesm1_0_ll
-4.0,,,,,,,,,,,,,,,,,,,,,,,,
-3.75,,,,,,,,,,,,,,,,,,,,,,,,
-3.5,,,,,,,,,,,,,,,,,,,,,,,,
-3.25,,,,,,,,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,,,
-2.75,,,,,,,,,,,,,,,,,,,,,,,,
9.75,1566119.970408902,1549691.828498888,1509333.777077711,1515441.166902152,1829670.3125102664,1599933.8424180564,1572863.6833170399,1654831.001482017,1848970.3197635594,1778083.7803529103,1610863.9048135353,1524606.2652595693,1427699.534691117,1658427.0797959892,1538995.72948333,1670932.8475282625,1527080.0649655948,1374800.0275243483,1935890.468040387,1831331.8783391896,1452150.3096386737,1505973.8292820381,1478596.6198606202,1603456.1683472504
10.0,1537419.9798062497,1556082.07598265,1547717.176858642,1511420.1195884328,1824132.338187326,1610217.8782028863,1568800.4772428672,1633452.8229797897,1845373.1401486036,1711050.8842643246,1606921.5741422754,1545101.867553841,1464349.5000640985,1668129.0956341426,1560751.4139775292,1676365.905201724,1528304.9438485377,1392134.5174528034,1949254.6426806306,1817127.7397260522,1433937.8097907268,1515077.4316500172,1459491.6375859866,1614248.9142732692
10.25,1554353.1547346115,1548763.2129048347,1566509.7310743837,1499889.409757383,1792515.1886264773,1605774.0361362733,1573962.0108184814,1607742.953701265,1827512.986958027,1692585.7119334538,1623216.782116182,1537827.7851462942,1465012.6833780461,1672813.4015185328,1568342.1601335208,1690646.2829278237,1497490.5516383287,1461793.5886448584,1959068.866602457,1814841.382670706,1449164.1176094143,1514083.1715218371,1451574.7934435352,1614337.83746538
10.5,1545811.5275431257,1545780.2554713567,1543130.6170454458,1488722.7488881168,1779697.6834825168,1595600.7182862975,1577645.327217131,1616206.697545066,1829766.1229769823,1649861.2346350353,1633522.9771158695,1540059.5572093762,1502527.5490315177,1653053.4726417426,1563196.5642777863,1698163.6569041917,1484521.9446034143,1448792.0143511079,1985797.3707699631,1808915.439821937,1435644.6647536827,1527336.9904323926,1434143.743732987,1596768.1753245122
10.75,1508445.928723812,1571558.80888834,1543470.994277983,1465905.7085335327,1759935.0800581772,1600957.7355315757,1569044.0177050938,1606632.1319500606,1845577.371557915,1664337.953909296,1655138.73145227,1555205.9543647189,1492974.813107375,1651938.26264143,1569894.6528725408,1677275.2627687887,1478822.561402393,1520892.3883078026,1982621.4622399735,1803058.7472651654,1437127.5238991217,1503992.3538236474,1446011.806970553,1588878.661538052
11.0,1486155.5296033223,1553478.9623617649,1536952.4183099198,1461023.6581773036,1731462.800460129,1585131.1663289792,1558451.7257220095,1624640.486375592,1833468.415744796,1649763.0123534636,1646695.8333267083,1551785.8100695177,1500770.1682194362,1639773.8594348214,1571471.4266460952,1675331.1017226018,1475589.7825364633,1475335.0170208758,1995758.3253636216,1802727.982271917,1457734.5410146425,1507965.495998845,1459536.339195815,1599535.3547243495
11.25,1504002.8466351249,1538280.235594368,1521933.8657857722,1442129.881826025,1719580.9540693976,1563955.6103452914,1558541.0821980853,1608523.7532932686,1831044.2841502102,1642068.8008455075,1662274.8999103922,1551390.2435270657,1475235.099768841,1663615.2772866306,1572273.1463749192,1650789.7276413946,1473430.412091443,1507935.6111801176,2006998.8932624874,1801960.4973441325,1451754.6878401584,1492767.9147149434,1507942.2057279674,1570991.1172578551
11.5,1488169.9832293915,1545566.1013581594,1505824.0579413646,1443087.8958454998,1701540.2151368097,1561690.7687504652,1563811.0082563632,1628774.458234368,1858452.4671867832,1656964.8864947231,1654883.932413289,1584271.3400212056,1462270.5358382282,1641075.0816768445,1574612.6353642002,1644468.8930089835,1428993.0322548838,1493851.034323071,2041533.2437154164,1781707.6153111313,1461425.3094325643,1460152.3599560477,1524605.4583786763,1546169.4175493212
11.75,1472075.454314203,1551963.6809105554,1477592.343332753,1433322.518149506,1696200.2089149158,1526453.6297879508,1552041.093943148,1612225.4945147254,1835095.2791732731,1642120.520900076,1661065.3004255511,1594697.9077171125,1453731.6257363812,1645264.9587915738,1551082.6560227077,1624796.0602111095,1430560.4410293896,1474759.5628493482,2050076.2761249254,1790218.9673985569,1480211.631953355,1438469.6053799717,1548223.2059585976,1545100.6467260013
12.0,1463176.3575103644,1530665.7764726004,1455541.746051196,1415315.0188163265,1685045.958175941,1536577.3713725118,1557690.8915616816,1611182.1404743628,1825381.1232774907,1647902.8111104532,1656698.7170098044,1619169.2769060857,1455195.9183664755,1644382.8705370498,1536755.5892011037,1597667.9796796422,1409877.1537227486,1508708.9017946648,2057115.6075041944,1768259.521600593,1486343.0844180223,1418408.7640590956,1536559.6045713425,1527238.8269472844
12.25,1439676.3500750859,1511016.8242418924,1443372.00913055,1393758.6039603695,1684003.4083332582,1502521.856078668,1569739.386981574,1601274.4057136737,1821714.3179196157,1635131.850833156,1674646.458838694,1607503.2835980328,1462302.7183137084,1620297.7465721187,1514101.7073627529,1593920.6273057966,1387144.0105932264,1502467.1078852306,2070184.467470617,1768456.7317465001,1506437.4428675969,1406120.0083306485,1560304.6778686552,1509534.1852535335
12.5,1424432.8252894662,1517794.3000261306,1458826.084385424,1392358.0927494222,1666734.6501680722,1534994.0346420605,1557199.156807914,1589969.3120330174,1814918.8813748648,1625390.2269816254,1678917.9440562797,1609773.1646305576,1475042.9497303097,1617156.0206321368,1514801.113009236,1574441.5986171202,1369620.2046388858,1538111.436181603,2053551.5540814833,1761041.3969766444,1509504.0396893385,1392203.0743577408,1560335.880668857,1518646.0037858703
12.75,1428007.9912295341,1521277.1794194856,1447219.2572151965,1371999.035435792,1689009.6808773966,1508940.3185487804,1545043.969112035,1588915.1808761396,1796712.598924897,1621248.8496178135,1714509.9222717718,1614221.5333474765,1501584.4798022038,1631057.6271953294,1510439.5795040708,1577916.8732453403,1359817.5945007007,1529485.141622529,2078127.6304653052,1761432.7830630215,1491914.5892575148,1426054.6826996948,1530760.3249921943,1491760.2417156047
13.0,1424976.7278633406,1510482.3075425148,1448343.00730305,1374470.4621468023,1670058.6467185165,1514348.2911447613,1552320.5209639145,1550545.5113400691,1806838.0793161537,1590286.0468196436,1701631.0196783182,1610162.5190388795,1491699.6002829436,1608556.568936868,1506494.1080476877,1572837.5462767861,1340568.9889505848,1535959.2207791011,2055330.993153442,1759021.9900476716,1489978.0495647807,1459957.1828563574,1454446.9821583575,1488828.5980730057
13.25,1419726.5290323894,1493768.3282731373,1445874.5871226282,1366171.723156062,1654972.5307363742,1532896.7943086769,1525542.0308018741,1552898.6144839344,1812982.3340904207,1584714.9141957832,1726761.9853116816,1593189.731291294,1495017.7380970463,1621622.1236208568,1513495.3151627742,1556080.0119243101,1340834.4000756235,1636281.1982484874,2010827.53156058,1722994.8196556352,1464527.211992683,1497265.110112537,1407758.029225436,1491538.8447713708
13.5,1457179.791730505,1486671.2603276412,1471959.1781129404,1374755.1448818408,1648871.044885433,1542813.1722470631,1528023.0843670152,1536059.3616239086,1796096.9863682226,1572362.9220811238,1708161.215367086,1600009.4246511604,1510231.510264339,1622060.7927341461,1521584.3236187298,1544017.136858868,1328198.1631697887,1559271.4186186502,2024733.2641795764,1761212.2316244298,1460371.4148493968,1555471.840382865,1413690.532681205,1498419.5275786861
