SST,1985-1990,2019-2023
14.75,1705211.1682977942,1642270.407260259
15.0,1728339.4277524683,1644674.1327802977
15.25,1747511.3192124101,1671379.9593550046
15.5,1772937.4736881256,1725495.1413330713
15.75,1810932.6932708423,1759425.151060931
16.0,1866103.9850111539,1798140.318748617
16.25,1925567.0385922855,1831191.0957815011
16.5,1947380.1833442051,1860971.1857776484
16.75,1981796.0270284016,1899688.6523177305
17.0,2010396.583313306,1952111.8396890005
17.25,2045816.325195551,1984092.9464374066
17.5,2084387.0599371593,2017712.8535867056
17.75,2108572.7129302025,2058415.7741517543
18.0,2164792.7111402354,2096249.7191907405
18.25,2193399.4605249297,2152335.706375853
18.5,2228939.668748008,2188385.2650414784
18.75,2302845.199092971,2243786.5174436886
19.0,2363434.4990683924,2273676.4344560625
19.25,2391171.0877002873,2319737.4378810883
19.5,2426906.8845296702,2377258.420572535
19.75,2481491.5626544156,2411934.1516959826
20.0,2507867.9476945666,2439297.496400515
20.25,2545933.012252384,2471364.9958291054
20.5,2584705.6606316036,2543781.3696374577
20.75,2656112.5200117696,2584644.0344358445
21.0,2735620.2111163405,2620933.4309695563
21.25,2805950.05996312,2683774.8461521785
21.5,2866367.503072103,2726478.496826744
21.75,2960093.604389111,2768322.9188194913
22.0,3028731.2235683864,2838388.436618932
22.25,3124996.0844228268,2909737.0824057898
22.5,3211678.7041748366,2990911.4219655353
22.75,3319018.92782863,3085457.730949084
23.0,3399423.374306334,3122544.2997937202
23.25,3510083.542418003,3212876.0579137164
23.5,3664535.5197254815,3328178.114576594
23.75,3817799.114429527,3471067.7221810343
24.0,4034535.9940408072,3601134.263532289
24.25,4223952.972432269,3724288.0669260025
24.5,4409505.220149676,3888173.9792701723
24.75,4657711.774979538,4022195.365572548
25.0,4851116.652165334,4229286.518129635
25.25,5183048.548621575,4482891.876386102
25.5,5497260.814208137,4746675.431838099
25.75,5810391.745593177,5069589.05233806
26.0,6160424.118310928,5342342.1022412935
26.25,6582858.829754617,5619477.182682863
26.5,7115085.323036511,5972453.207166163
26.75,7441613.828018506,6375372.635912227
27.0,7578390.909957833,6807797.984961764
27.25,7684988.119436847,7116666.8769019125
27.5,8018603.470972432,7473986.131645266
27.75,8297395.690781806,7660564.178012943
28.0,8337342.552545494,7941069.317710749
28.25,7972107.81217236,8161134.808554713
28.5,7778266.133836376,8267114.102016004
28.75,7463694.400303788,8226483.302225558
29.0,6874516.121370792,8089510.188868268
29.25,6217660.919941849,7890971.193355878
29.5,4673954.554743131,7689521.004524549
29.75,2624058.011660311,7093066.804593849
30.0,1129657.6973083285,4747610.231559753
30.25,420256.1733335389,2592452.8188479743
30.5,137263.01368162368,1185112.9178899128
30.75,52512.10888942083,447474.327139918
31.0,27629.04928059048,177670.17698459624
31.25,17359.548022641076,79899.63168067932
31.5,13318.24436267217,51783.04252465566
31.75,10570.212302207947,33919.08839708964
32.0,8928.381977981991,26828.504607073464
32.25,6721.929495387607,22968.819967015585
32.5,4726.533532778422,18651.94346154531
32.75,3847.237857765622,15691.603218460083
33.0,2997.6573861440024,12177.503616460164
33.25,1749.12591430876,8810.932951863606
33.5,1058.9799449178909,9412.52900575002
33.75,582.0690288543701,8661.150845654805
34.0,317.8964143329197,7325.304144223531
34.25,30.121769587198894,6366.580421765645
34.5,,4527.67210706075
34.75,,3295.436901410421
35.0,,1264.020936457316
35.25,,583.8871663411459
35.5,,339.77131067911785
35.75,,47.67814350128174
36.0,,
36.25,,
36.5,,
36.75,,
37.0,,
37.25,,
37.5,,
37.75,,
38.0,,
38.25,,
38.5,,
38.75,,
39.0,,
39.25,,
39.5,,
